CELL_TYPE   MARKERS
NEURONS MAP2,SYN1,PRPH,DISP2,CNTNAP2,TUBB3,RBFOX3,CHAT
ASTROCYTES  GFAP,SLC1A2,ACSL6,APOE,AQP4,S100B,SOX9,ALDOC
OLIGODENDROCYTES  MBP,MOG,MAG,CLDN14,KLK6,EML1,CNP,PLP1
ENDOTHELIAL CD31,VWF,CDH5,CLDN5,FLT1
PERICYTES PDGFRB,DES,CD13,RGS5
MESENCHYMAL CD44,NT5E,THY1,ENG
MICROGLIA   PTPRC,ITGAM,CX3CR1,TMEM119,P2RY12,AIF1,ALDH1A2,CSF1R
TAMS    CD68,CD163,CSF1R,MSR1
T   CD3D,CD3E,CD3G,CD8A,TRBC2,GZMK,TRAC,IL2RA,GZMB
NK  TRDC,NKG7,NCAM1,KLRD1,GNLY,NCR1,GZMA,HOPX
B   PXK,MS4A1,CD19,IGHD,IGHM,BANK1,CD79A,CD79B
TUMOR   EGFR,PDGFRA,IDH1,TP53,ATRX,SOX2,GFAP,S100B,ACVR1
MES-LIKE    DDIT3,ENO2,VIM,ADM,LDHA,HILPDA,ANXA1,ANXA2,CHI3L1
AC-LIKE CST3,GFAP,EGFR,S100B,HOPX,SLC1A3,MLC1
OPC-LIKE    ALCAM,OLIG1,OMG,PLLP,PDGFRA
NPC-LIKE    SOX4,DCX,CD24,DLL3,SOX11,STMN4,STMN2,DLX5,DLX6-AS1
