project_id	sample_id	library_id	seq_unit	technology	total_reads	mapped_reads	genome_assembly	mapping_index	salmon_version	date_processed	workflow	workflow_version	workflow_commit
SCPCP000002	SCPCS000039	SCPCL000318	bulk	paired_end	44973733	39774107	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:32:28+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000029	SCPCL000319	bulk	paired_end	40466230	37127971	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:50:15+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000030	SCPCL000320	bulk	paired_end	28884624	21730146	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:26:12+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000032	SCPCL000321	bulk	paired_end	23568862	19565995	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:24:12+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000040	SCPCL000322	bulk	paired_end	47387711	40257334	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:32:33+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000033	SCPCL000323	bulk	paired_end	49761763	44698652	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:53:54+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000036	SCPCL000324	bulk	paired_end	48136816	41880364	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:35:47+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000037	SCPCL000325	bulk	paired_end	52590881	46084421	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:36:12+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000026	SCPCL000326	bulk	paired_end	48944769	42753948	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:34:12+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000028	SCPCL000327	bulk	paired_end	58239756	47760026	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:34:10+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000042	SCPCL000328	bulk	paired_end	42305411	35739759	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:34:46+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000038	SCPCL000329	bulk	paired_end	51584253	46456267	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:35:49+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000024	SCPCL000330	bulk	paired_end	57323771	49821177	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:36:55+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
SCPCP000002	SCPCS000025	SCPCL000331	bulk	paired_end	52058480	45962536	Homo_sapiens.GRCh38.104	Homo_sapiens.GRCh38.104.spliced_cdna.txome	1.5.2	2022-02-08T21:39:21+0000	https://github.com/AlexsLemonade/scpca-nf	v0.8.3	3d42560d8dde5655ac0dbd57a7902c34bfcd1291
