chr	start	stop
NOC2L	chr1	879584	894689
HES4	chr1	934342	935552
ISG15	chr1	948803	949920
AGRN	chr1	955503	991496
SDF4	chr1	1152288	1167411
B3GALT6	chr1	1167629	1170421
UBE2J2	chr1	1189289	1209265
ACAP3	chr1	1227756	1244989
CPSF3L	chr1	1246965	1260071
AURKAIP1	chr1	1309110	1310875
CCNL2	chr1	1321091	1334708
MRPL20	chr1	1337288	1342693
VWA1	chr1	1370241	1378262
SSU72	chr1	1477053	1510249
MIB2	chr1	1550795	1565990
CDK11B	chr1	1570603	1590473
SLC35E2B	chr1	1592939	1624167
CDK11A	chr1	1634169	1655766
NADK	chr1	1682671	1711896
GNB1	chr1	1716729	1822495
C1orf86	chr1	2115903	2144159
SKI	chr1	2160134	2241558
RER1	chr1	2323267	2336883
PEX10	chr1	2336236	2345236
TNFRSF14	chr1	2487078	2496821
LRRC47	chr1	3696784	3713068
C1orf174	chr1	3805689	3816857
RPL22	chr1	6241329	6269449
ICMT	chr1	6281253	6296032
ACOT7	chr1	6324329	6454451
NOL9	chr1	6581407	6614595
CAMTA1	chr1	6845384	7829766
VAMP3	chr1	7831329	7841492
PER3	chr1	7844380	7905237
PARK7	chr1	8014351	8045565
RERE	chr1	8412457	8877702
ENO1	chr1	8921061	8939308
SLC2A5	chr1	9095166	9148537
SLC25A33	chr1	9599541	9645237
PIK3CD	chr1	9711790	9789172
CLSTN1	chr1	9789084	9884584
CTNNBIP1	chr1	9908334	9970394
LZIC	chr1	9982173	10003465
UBE4B	chr1	10092890	10241297
KIF1B	chr1	10270863	10441661
PGD	chr1	10458649	10480201
DFFA	chr1	10516579	10532583
TARDBP	chr1	11072414	11085796
SRM	chr1	11114641	11120081
EXOSC10	chr1	11126675	11159938
MTOR	chr1	11166592	11322564
MAD2L2	chr1	11734537	11751707
DRAXIN	chr1	11751786	11785914
AGTRAP	chr1	11796141	11814859
MTHFR	chr1	11845780	11866977
CLCN6	chr1	11866207	11903201
NPPA	chr1	11905766	11908402
KIAA2013	chr1	11979648	11986485
PLOD1	chr1	11994262	12035595
MFN2	chr1	12040238	12073571
MIIP	chr1	12079523	12092102
TNFRSF1B	chr1	12227060	12269285
VPS13D	chr1	12290124	12572099
DHRS3	chr1	12627939	12677737
PDPN	chr1	13909960	13944452
PRDM2	chr1	14026693	14151574
KAZN	chr1	14925200	15444539
TMEM51	chr1	15479028	15546976
EFHD2	chr1	15736391	15756839
DDI2	chr1	15943995	15995539
PLEKHM2	chr1	16010827	16061264
RP11-169K16.9	chr1	16160560	16174642
SPEN	chr1	16174359	16266955
FBXO42	chr1	16573334	16678949
SZRD1	chr1	16679070	16724640
NECAP2	chr1	16767167	16786573
NBPF1	chr1	16888814	16940057
SDHB	chr1	17345217	17380665
PADI2	chr1	17393256	17445948
RCC2	chr1	17733256	17766220
IGSF21	chr1	18434240	18704977
UBR4	chr1	19401000	19536770
EMC1	chr1	19542158	19578046
MRTO4	chr1	19578033	19586622
AKR7A2	chr1	19630459	19638640
CAPZB	chr1	19665267	19812066
MINOS1	chr1	19923477	19956314
NBL1	chr1	19967048	19984945
CAMK2N1	chr1	20808884	20812713
PINK1	chr1	20959948	20978004
DDOST	chr1	20978270	20988000
HP1BP3	chr1	21069154	21113816
EIF4G3	chr1	21132963	21503377
USP48	chr1	22004791	22110099
CDC42	chr1	22379120	22419437
C1QA	chr1	22962999	22966101
C1QC	chr1	22970123	22974603
C1QB	chr1	22979255	22988031
EPHB2	chr1	23037332	23241818
KDM1A	chr1	23345941	23410182
LUZP1	chr1	23410516	23504301
HNRNPR	chr1	23630264	23670829
ID3	chr1	23884409	23886285
RPL11	chr1	24018269	24022915
PITHD1	chr1	24104895	24114722
LYPLA2	chr1	24117460	24122029
HMGCL	chr1	24128375	24165110
FUCA1	chr1	24171567	24194784
PNRC2	chr1	24285599	24289952
SRSF10	chr1	24291294	24307417
NIPAL3	chr1	24742284	24799466
RCAN3	chr1	24829387	24867530
SRRM1	chr1	24958207	24999758
CLIC4	chr1	25071848	25170815
SYF2	chr1	25549170	25558993
C1orf63	chr1	25568728	25664704
TMEM50A	chr1	25664408	25688852
TMEM57	chr1	25757388	25826700
MAN1C1	chr1	25943959	26112698
SEPN1	chr1	26126667	26144713
MTFR1L	chr1	26145131	26159432
STMN1	chr1	26210672	26233482
ZNF593	chr1	26496362	26498551
SH3BGRL3	chr1	26605667	26608007
CD52	chr1	26644448	26647014
DHDDS	chr1	26758773	26797785
HMGN2	chr1	26798941	26802463
RPS6KA1	chr1	26856252	26901521
ARID1A	chr1	27022524	27108595
NUDC	chr1	27226729	27273353
WDTC1	chr1	27561007	27635110
TMEM222	chr1	27648651	27662891
WASF2	chr1	27730730	27816669
AHDC1	chr1	27860546	27930942
IFI6	chr1	27992572	27998729
STX12	chr1	28099694	28150963
PPP1R8	chr1	28157289	28178187
THEMIS2	chr1	28199055	28213196
RPA2	chr1	28218035	28241257
PTAFR	chr1	28473677	28520447
DNAJC8	chr1	28525967	28559536
ATPIF1	chr1	28562620	28573417
PHACTR4	chr1	28696114	28826881
TRNAU1AP	chr1	28879597	28905051
SNHG12	chr1	28905050	28909495
TAF12	chr1	28915835	28969597
GMEB1	chr1	28995244	29045865
YTHDF2	chr1	29063133	29096287
EPB41	chr1	29213603	29446553
SRSF4	chr1	29474255	29508499
LAPTM5	chr1	31205316	31230667
SDC3	chr1	31342314	31381608
PUM1	chr1	31404353	31538838
SNRNP40	chr1	31732417	31769662
ZCCHC17	chr1	31769842	31837783
PEF1	chr1	32095463	32110497
COL16A1	chr1	32117848	32169920
PTP4A2	chr1	32372022	32410457
KHDRBS1	chr1	32479430	32526451
TMEM39B	chr1	32537632	32568467
KPNA6	chr1	32573639	32642169
TXLNA	chr1	32645287	32663886
CCDC28B	chr1	32665987	32670988
EIF3I	chr1	32687529	32697205
LCK	chr1	32716840	32751766
HDAC1	chr1	32757687	32799236
MARCKSL1	chr1	32799433	32801980
BSDC1	chr1	32830704	32860332
ZBTB8OS	chr1	33065773	33116504
RBBP4	chr1	33116743	33151812
SYNC	chr1	33145507	33169197
YARS	chr1	33240840	33283754
S100PBP	chr1	33282368	33324476
TMEM54	chr1	33360195	33367039
AK2	chr1	33473585	33546597
ZNF362	chr1	33722146	33766320
PHC2	chr1	33789224	33896653
CSMD2	chr1	33979609	34631443
SMIM12	chr1	35178338	35325417
ZMYM1	chr1	35525387	35581460
SFPQ	chr1	35641979	35658749
ZMYM4	chr1	35734568	35887659
KIAA0319L	chr1	35899091	36023551
PSMB2	chr1	36067185	36107445
AGO4	chr1	36273773	36323491
AGO1	chr1	36335409	36395211
AGO3	chr1	36396319	36538101
ADPRHL2	chr1	36554476	36559533
TRAPPC3	chr1	36602173	36615098
MAP7D1	chr1	36621180	36646450
THRAP3	chr1	36690017	36770958
EVA1B	chr1	36787632	36789755
STK40	chr1	36805225	36851497
LSM10	chr1	36856839	36863493
MRPS15	chr1	36921319	36930038
CSF3R	chr1	36931644	36948879
GRIK3	chr1	37261128	37499730
MEAF6	chr1	37958176	37980375
GNL2	chr1	38032417	38061536
C1orf122	chr1	38272651	38275126
SF3A3	chr1	38422647	38456593
FHL3	chr1	38462442	38471278
UTP11L	chr1	38474930	38490496
RRAGC	chr1	39303870	39325495
AKIRIN1	chr1	39456895	39471731
NDUFS5	chr1	39491990	39500308
MACF1	chr1	39546988	39952849
PABPC4	chr1	40026488	40042462
PPIE	chr1	40157854	40229586
CAP1	chr1	40505905	40538321
PPT1	chr1	40538379	40563375
RLF	chr1	40627045	40706593
ZMPSTE24	chr1	40723779	40759856
COL9A2	chr1	40766159	40783488
SMAP2	chr1	40810522	40888998
NFYC	chr1	41157320	41237275
CITED4	chr1	41326729	41328018
SCMH1	chr1	41492872	41707826
FOXJ3	chr1	42642210	42801548
PPCS	chr1	42921788	42939056
PPIH	chr1	43124096	43142429
YBX1	chr1	43148098	43168020
C1orf50	chr1	43232940	43263968
CCDC23	chr1	43272723	43282954
SLC2A1	chr1	43391052	43424530
EBNA1BP2	chr1	43629846	43736607
ELOVL1	chr1	43829068	43833696
MED8	chr1	43849588	43855479
HYI	chr1	43916824	43919660
PTPRF	chr1	43990858	44089343
KDM4A	chr1	44115829	44171186
ATP6V0B	chr1	44440159	44443967
DMAP1	chr1	44679127	44686353
ERI3	chr1	44686742	44820932
RNF220	chr1	44870866	45117396
